2025/09/11 13:39:01 Logger initialized. Subsequent logs will be written to log/server.log
2025/09/11 13:39:01 Attempting to connect to PostgreSQL at postgresql:5432
2025/09/11 13:39:01 Connected to PostgreSQL database successfully
2025/09/11 13:39:02 Connected to Redis successfully
2025/09/11 13:39:02 Connected to Elasticsearch successfully
2025/09/11 13:39:12 Attempting to fetch server list from Elasticsearch...
2025/09/11 13:39:12 IP 158.174.159.187 alive status: true
2025/09/11 13:39:12 IP 118.127.10.76 alive status: true
2025/09/11 13:39:12 IP 121.104.12.119 alive status: true
2025/09/11 13:39:12 IP 85.193.232.217 alive status: true
2025/09/11 13:39:12 IP 69.193.208.172 alive status: true
2025/09/11 13:39:12 IP 81.65.0.151 alive status: true
2025/09/11 13:39:12 IP 166.33.179.110 alive status: true
2025/09/11 13:39:12 IP 67.148.47.92 alive status: true
2025/09/11 13:39:12 IP 81.112.70.243 alive status: true
2025/09/11 13:39:12 IP 77.17.223.27 alive status: true
2025/09/11 13:39:12 IP 69.145.39.42 alive status: true
2025/09/11 13:39:12 IP 181.163.66.47 alive status: true
2025/09/11 13:39:12 IP 128.69.38.53 alive status: true
2025/09/11 13:39:12 IP 82.154.55.204 alive status: true
2025/09/11 13:39:12 IP 221.113.5.111 alive status: true
2025/09/11 13:39:12 IP 177.83.66.25 alive status: true
2025/09/11 13:39:12 IP 159.146.90.95 alive status: true
2025/09/11 13:39:12 IP 2.243.11.59 alive status: true
2025/09/11 13:39:12 IP 99.108.78.5 alive status: true
2025/09/11 13:39:12 IP 80.15.174.121 alive status: true
2025/09/11 13:39:12 IP 130.208.42.179 alive status: true
2025/09/11 13:39:12 IP 91.9.139.150 alive status: true
2025/09/11 13:39:12 IP 81.206.70.53 alive status: true
2025/09/11 13:39:12 IP 91.6.194.23 alive status: true
2025/09/11 13:39:12 IP 90.110.240.170 alive status: true
2025/09/11 13:39:12 IP 41.72.154.136 alive status: true
2025/09/11 13:39:12 IP 71.96.252.156 alive status: true
2025/09/11 13:39:12 IP 194.7.158.30 alive status: true
2025/09/11 13:39:12 IP 74.71.88.35 alive status: true
2025/09/11 13:39:12 IP 74.46.82.21 alive status: true
2025/09/11 13:39:12 IP 114.7.97.3 alive status: true
2025/09/11 13:39:12 IP 65.17.173.252 alive status: true
2025/09/11 13:39:12 IP 49.180.79.186 alive status: true
2025/09/11 13:39:12 IP 189.162.177.177 alive status: true
2025/09/11 13:39:12 IP 78.56.182.150 alive status: true
2025/09/11 13:39:12 IP 46.24.0.106 alive status: true
2025/09/11 13:39:12 IP 175.134.200.20 alive status: true
2025/09/11 13:39:12 IP 27.132.210.111 alive status: true
2025/09/11 13:39:12 IP 3.214.204.228 alive status: true
2025/09/11 13:39:12 IP 212.57.241.163 alive status: true
2025/09/11 13:39:12 IP 99.135.99.91 alive status: true
2025/09/11 13:39:12 IP 175.159.102.206 alive status: true
2025/09/11 13:39:12 IP 189.28.220.118 alive status: true
2025/09/11 13:39:12 IP 59.116.88.224 alive status: true
2025/09/11 13:39:12 IP 189.12.82.190 alive status: true
2025/09/11 13:39:12 IP 94.68.173.122 alive status: true
2025/09/11 13:39:12 IP 37.148.11.67 alive status: true
2025/09/11 13:39:12 IP 58.190.150.199 alive status: true
2025/09/11 13:39:12 IP 47.132.80.112 alive status: true
2025/09/11 13:39:12 IP 50.134.234.22 alive status: true
2025/09/11 13:39:12 IP 186.249.108.48 alive status: true
2025/09/11 13:39:12 IP 207.176.229.210 alive status: true
2025/09/11 13:39:12 IP 18.235.74.233 alive status: true
2025/09/11 13:39:12 IP 174.197.160.1 alive status: true
2025/09/11 13:39:12 IP 100.161.84.79 alive status: false
2025/09/11 13:39:12 IP 18.188.40.192 alive status: true
2025/09/11 13:39:12 IP 69.179.151.1 alive status: true
2025/09/11 13:39:12 IP 68.54.173.150 alive status: true
2025/09/11 13:39:12 IP 187.63.161.96 alive status: true
2025/09/11 13:39:12 IP 98.180.10.0 alive status: true
2025/09/11 13:39:12 IP 199.168.137.20 alive status: true
2025/09/11 13:39:12 IP 194.150.243.1 alive status: true
2025/09/11 13:39:12 IP 224.15.130.12 alive status: false
2025/09/11 13:39:12 IP 22.245.12.237 alive status: false
2025/09/11 13:39:12 IP 223.214.134.8 alive status: false
2025/09/11 13:39:12 IP 209.242.8.54 alive status: true
2025/09/11 13:39:12 IP 170.231.246.241 alive status: true
2025/09/11 13:39:12 IP 153.30.21.253 alive status: false
2025/09/11 13:39:12 IP 41.54.29.208 alive status: false
2025/09/11 13:39:12 IP 176.169.165.47 alive status: true
2025/09/11 13:39:12 IP 135.97.89.40 alive status: true
2025/09/11 13:39:12 IP 208.10.119.28 alive status: false
2025/09/11 13:39:12 IP 23.198.94.37 alive status: true
2025/09/11 13:39:12 IP 90.78.10.196 alive status: true
2025/09/11 13:39:12 IP 23.218.233.19 alive status: true
2025/09/11 13:39:12 IP 85.114.27.166 alive status: true
2025/09/11 13:39:12 IP 201.102.218.59 alive status: true
2025/09/11 13:39:12 IP 182.75.65.34 alive status: true
2025/09/11 13:39:12 IP 213.60.170.228 alive status: true
2025/09/11 13:39:12 IP 71.29.206.147 alive status: true
2025/09/11 13:39:12 IP 107.229.180.142 alive status: true
2025/09/11 13:39:12 IP 124.247.28.121 alive status: true
2025/09/11 13:39:12 IP 25.176.84.86 alive status: false
2025/09/11 13:39:12 IP 102.144.77.123 alive status: true
2025/09/11 13:39:12 IP 58.104.118.183 alive status: true
2025/09/11 13:39:12 IP 210.85.3.243 alive status: true
2025/09/11 13:39:12 IP 27.241.203.43 alive status: true
2025/09/11 13:39:12 IP 62.105.192.46 alive status: true
2025/09/11 13:39:12 IP 1.197.34.135 alive status: true
2025/09/11 13:39:12 IP 221.57.185.167 alive status: true
2025/09/11 13:39:12 IP 188.222.33.219 alive status: true
2025/09/11 13:39:12 IP 104.155.148.79 alive status: true
2025/09/11 13:39:12 IP 43.87.134.91 alive status: false
2025/09/11 13:39:12 IP 218.165.54.77 alive status: true
2025/09/11 13:39:12 IP 124.245.22.191 alive status: false
2025/09/11 13:39:12 IP 16.95.217.232 alive status: false
2025/09/11 13:39:12 IP 227.226.255.188 alive status: false
2025/09/11 13:39:12 IP 39.190.96.130 alive status: false
2025/09/11 13:39:12 IP 231.139.63.160 alive status: false
2025/09/11 13:39:12 IP 114.57.156.132 alive status: false
2025/09/11 13:39:12 IP 56.171.158.255 alive status: false
2025/09/11 13:39:12 IP 45.38.197.107 alive status: false
2025/09/11 13:39:12 IP 74.152.10.103 alive status: false
2025/09/11 13:39:12 IP 241.138.109.79 alive status: false
2025/09/11 13:39:12 IP 222.44.254.158 alive status: false
2025/09/11 13:39:12 IP 117.197.28.68 alive status: false
2025/09/11 13:39:12 IP 22.26.251.15 alive status: false
2025/09/11 13:39:12 IP 180.30.85.238 alive status: false
2025/09/11 13:39:12 IP 171.104.64.193 alive status: false
2025/09/11 13:39:12 IP 86.251.137.192 alive status: false
2025/09/11 13:39:12 IP 12.8.121.245 alive status: false
2025/09/11 13:39:12 IP 240.254.138.226 alive status: false
2025/09/11 13:39:12 IP 123.21.77.239 alive status: false
2025/09/11 13:39:12 IP 109.76.86.251 alive status: false
2025/09/11 13:39:12 IP 239.114.77.227 alive status: false
2025/09/11 13:39:12 IP 62.222.53.227 alive status: false
2025/09/11 13:39:12 IP 227.27.251.115 alive status: false
2025/09/11 13:39:12 IP 9.52.161.33 alive status: false
2025/09/11 13:39:12 IP 228.44.19.216 alive status: false
2025/09/11 13:39:12 IP 9.44.154.56 alive status: false
2025/09/11 13:39:12 IP 42.142.24.125 alive status: false
2025/09/11 13:39:12 IP 40.21.12.136 alive status: false
2025/09/11 13:39:12 IP 43.250.12.119 alive status: false
2025/09/11 13:39:12 IP 183.112.85.108 alive status: false
2025/09/11 13:39:12 IP 226.20.255.226 alive status: false
2025/09/11 13:39:12 IP 167.39.123.244 alive status: false
2025/09/11 13:39:12 IP 232.224.201.225 alive status: false
2025/09/11 13:39:12 IP 211.51.167.100 alive status: false
2025/09/11 13:39:12 IP 171.172.184.146 alive status: false
2025/09/11 13:39:12 IP 241.243.23.146 alive status: false
2025/09/11 13:39:12 IP 249.89.77.224 alive status: false
2025/09/11 13:39:12 IP 101.223.131.167 alive status: false
2025/09/11 13:39:12 IP 254.103.65.21 alive status: false
2025/09/11 13:39:12 IP 18.119.218.203 alive status: true
2025/09/11 13:39:12 IP 25.39.114.14 alive status: false
2025/09/11 13:39:12 IP 110.182.49.84 alive status: false
2025/09/11 13:39:12 IP 21.152.154.14 alive status: false
2025/09/11 13:39:12 IP 171.173.191.43 alive status: false
2025/09/11 13:39:12 IP 7.249.24.15 alive status: false
2025/09/11 13:39:12 IP 232.114.63.132 alive status: false
2025/09/11 13:39:12 IP 57.159.57.181 alive status: false
2025/09/11 13:39:12 IP 26.172.92.50 alive status: false
2025/09/11 13:39:12 IP 171.112.93.239 alive status: false
2025/09/11 13:39:12 IP 203.125.16.176 alive status: false
2025/09/11 13:39:12 IP 7.142.109.131 alive status: false
2025/09/11 13:39:12 IP 205.13.50.48 alive status: false
2025/09/11 13:39:12 IP 180.34.169.121 alive status: true
2025/09/11 13:39:12 IP 89.6.93.246 alive status: true
2025/09/11 13:39:12 IP 122.9.208.1 alive status: true
2025/09/11 13:39:12 IP 93.45.165.122 alive status: true
2025/09/11 13:39:12 IP 81.143.102.172 alive status: true
2025/09/11 13:39:12 IP 146.44.19.180 alive status: true
2025/09/11 13:39:12 IP 107.207.46.16 alive status: true
2025/09/11 13:39:12 IP 49.146.243.14 alive status: true
2025/09/11 13:39:12 IP 97.46.143.43 alive status: true
2025/09/11 13:39:12 IP 208.179.4.72 alive status: true
2025/09/11 13:39:12 IP 126.254.43.179 alive status: true
2025/09/11 13:39:12 IP 200.95.41.106 alive status: true
2025/09/11 13:39:12 IP 174.17.242.97 alive status: true
2025/09/11 13:39:12 IP 76.57.101.70 alive status: true
2025/09/11 13:39:12 IP 93.51.132.170 alive status: true
2025/09/11 13:39:12 IP 163.187.55.96 alive status: true
2025/09/11 13:39:12 IP 81.121.68.62 alive status: true
2025/09/11 13:39:12 IP 154.170.66.112 alive status: false
2025/09/11 13:39:12 IP 126.126.145.204 alive status: true
2025/09/11 13:39:12 IP 57.78.12.91 alive status: false
2025/09/11 13:39:12 IP 85.63.113.80 alive status: true
2025/09/11 13:39:12 IP 199.152.183.38 alive status: true
2025/09/11 13:39:12 IP 217.125.81.83 alive status: true
2025/09/11 13:39:12 IP 86.136.175.213 alive status: true
2025/09/11 13:39:12 IP 176.20.102.49 alive status: true
2025/09/11 13:39:12 IP 181.220.183.55 alive status: true
2025/09/11 13:39:12 IP 98.153.223.185 alive status: true
2025/09/11 13:39:12 IP 20.6.184.60 alive status: false
2025/09/11 13:39:12 IP 213.233.6.182 alive status: true
2025/09/11 13:39:12 IP 104.165.197.44 alive status: false
2025/09/11 13:39:12 IP 71.66.202.227 alive status: true
2025/09/11 13:39:12 IP 36.242.246.209 alive status: true
2025/09/11 13:39:12 IP 42.151.139.0 alive status: true
2025/09/11 13:39:12 IP 60.82.225.255 alive status: true
2025/09/11 13:39:12 IP 82.68.80.125 alive status: true
2025/09/11 13:39:12 IP 27.71.215.58 alive status: true
2025/09/11 13:39:12 IP 145.116.146.254 alive status: true
2025/09/11 13:39:12 IP 197.179.241.105 alive status: false
2025/09/11 13:39:12 IP 98.96.63.90 alive status: true
2025/09/11 13:39:12 IP 1.239.6.159 alive status: false
2025/09/11 13:39:12 IP 178.223.60.85 alive status: true
2025/09/11 13:39:12 IP 153.110.45.21 alive status: true
2025/09/11 13:39:12 IP 3.220.40.241 alive status: true
2025/09/11 13:39:12 IP 229.234.223.116 alive status: false
2025/09/11 13:39:12 IP 228.228.90.113 alive status: false
2025/09/11 13:39:12 IP 69.235.237.24 alive status: true
2025/09/11 13:39:12 IP 78.78.173.110 alive status: true
2025/09/11 13:39:12 IP 127.176.50.54 alive status: true
2025/09/11 13:39:12 IP 253.245.128.109 alive status: false
2025/09/11 13:39:12 IP 174.166.92.183 alive status: true
2025/09/11 13:39:12 IP 157.135.191.93 alive status: false
2025/09/11 13:39:12 IP 153.129.9.136 alive status: true
2025/09/11 13:39:12 IP 90.83.85.9 alive status: true
2025/09/11 13:39:12 IP 83.117.137.199 alive status: false
2025/09/11 13:39:12 IP 91.15.84.245 alive status: true
2025/09/11 13:39:12 IP 251.66.20.31 alive status: false
2025/09/11 13:39:12 IP 75.157.67.85 alive status: true
2025/09/11 13:39:12 IP 127.49.17.32 alive status: true
2025/09/11 13:39:12 IP 97.100.230.60 alive status: true
2025/09/11 13:39:12 IP 229.62.44.201 alive status: false
2025/09/11 13:39:12 IP 70.19.238.37 alive status: true
2025/09/11 13:39:12 IP 103.78.183.57 alive status: false
2025/09/11 13:39:12 IP 217.128.209.22 alive status: true
2025/09/11 13:39:12 IP 0.221.61.1 alive status: false
2025/09/11 13:39:12 IP 92.129.210.255 alive status: true
2025/09/11 13:39:12 IP 36.122.161.123 alive status: false
2025/09/11 13:39:12 IP 99.27.104.255 alive status: true
2025/09/11 13:39:12 IP 24.92.103.225 alive status: true
2025/09/11 13:39:12 IP 223.8.116.154 alive status: false
2025/09/11 13:39:12 IP 254.110.125.185 alive status: false
2025/09/11 13:39:12 IP 16.75.50.210 alive status: false
2025/09/11 13:39:12 IP 218.69.35.16 alive status: false
2025/09/11 13:39:12 IP 17.205.113.159 alive status: false
2025/09/11 13:39:12 IP 254.65.0.255 alive status: false
2025/09/11 13:39:12 IP 159.154.63.115 alive status: false
2025/09/11 13:39:12 IP 13.200.81.104 alive status: true
2025/09/11 13:39:12 IP 122.37.115.33 alive status: false
2025/09/11 13:39:12 IP 101.18.25.103 alive status: false
2025/09/11 13:39:12 IP 137.58.172.41 alive status: false
2025/09/11 13:39:12 IP 22.113.248.119 alive status: false
2025/09/11 13:39:12 IP 251.90.194.15 alive status: false
2025/09/11 13:39:12 IP 148.13.67.93 alive status: false
2025/09/11 13:39:12 IP 56.177.20.232 alive status: false
2025/09/11 13:39:12 IP 245.175.138.142 alive status: false
2025/09/11 13:39:12 IP 29.92.153.175 alive status: false
2025/09/11 13:39:12 IP 188.0.182.149 alive status: false
2025/09/11 13:39:12 IP 225.118.174.128 alive status: false
2025/09/11 13:39:12 IP 152.68.9.46 alive status: false
2025/09/11 13:39:12 IP 234.17.230.46 alive status: false
2025/09/11 13:39:12 IP 66.106.81.106 alive status: true
2025/09/11 13:39:12 IP 237.134.125.132 alive status: false
2025/09/11 13:39:12 IP 22.194.132.207 alive status: false
2025/09/11 13:39:12 IP 106.169.144.237 alive status: true
2025/09/11 13:39:12 IP 158.108.116.27 alive status: false
2025/09/11 13:39:12 IP 10.144.107.143 alive status: false
2025/09/11 13:39:12 IP 234.238.137.91 alive status: false
2025/09/11 13:39:12 IP 61.22.4.249 alive status: true
2025/09/11 13:39:12 IP 13.34.57.173 alive status: false
2025/09/11 13:39:12 IP 20.104.236.226 alive status: false
2025/09/11 13:39:12 IP 120.119.24.41 alive status: false
2025/09/11 13:39:12 IP 145.82.18.188 alive status: false
2025/09/11 13:39:12 IP 11.170.167.138 alive status: false
2025/09/11 13:39:12 IP 249.6.205.209 alive status: false
2025/09/11 13:39:12 IP 115.156.48.90 alive status: false
2025/09/11 13:39:12 IP 71.0.172.65 alive status: true
2025/09/11 13:39:12 IP 106.229.196.58 alive status: false
2025/09/11 13:39:12 IP 182.142.130.32 alive status: false
2025/09/11 13:39:12 IP 142.229.26.39 alive status: false
2025/09/11 13:39:12 IP 145.87.96.83 alive status: false
2025/09/11 13:39:12 IP 161.71.243.152 alive status: false
2025/09/11 13:39:12 IP 71.128.73.174 alive status: false
2025/09/11 13:39:12 IP 221.226.27.68 alive status: false
2025/09/11 13:39:12 IP 219.208.37.166 alive status: true
2025/09/11 13:39:12 IP 56.154.246.25 alive status: false
2025/09/11 13:39:12 IP 169.222.143.253 alive status: false
2025/09/11 13:39:12 IP 232.127.147.122 alive status: false
2025/09/11 13:39:12 IP 3.56.50.70 alive status: false
2025/09/11 13:39:12 IP 99.85.182.146 alive status: false
2025/09/11 13:39:12 IP 233.72.63.240 alive status: false
2025/09/11 13:39:12 IP 210.124.188.160 alive status: false
2025/09/11 13:39:12 IP 104.209.208.247 alive status: false
2025/09/11 13:39:12 IP 27.182.138.73 alive status: false
2025/09/11 13:39:12 IP 121.125.78.195 alive status: false
2025/09/11 13:39:12 IP 49.97.205.68 alive status: false
2025/09/11 13:39:12 IP 115.136.0.219 alive status: false
2025/09/11 13:39:12 IP 229.90.2.40 alive status: false
2025/09/11 13:39:12 IP 222.21.220.132 alive status: false
